Latitude,Max Temperature,Humidity,Cloudiness,Wind Speed
-33.04,53.6,87,75,5.82
9.52,81.0,83,40,5.82
-20.34,72.0,77,40,16.11
36.62,55.31,69,1,1.79
37.28,72.99,70,82,1.61
33.73,75.2,88,75,9.17
-33.7,44.55,70,49,5.88
42.78,70.0,71,0,10.0
-35.72,53.01,96,71,2.95
70.63,65.57,49,59,7.83
59.7,55.99,87,40,4.47
-15.2,64.33,56,0,7.96
-0.89,80.02,77,86,1.54
71.97,51.98,78,84,17.13
22.08,84.0,74,75,17.22
18.44,85.57,45,57,10.85
43.1,73.0,83,90,14.99
-45.87,53.01,77,98,5.01
-21.34,64.4,77,28,4.7
-4.67,77.0,81,79,0.54
57.64,53.1,84,21,3.78
-9.8,79.03,79,29,18.23
69.49,48.2,93,90,11.18
-46.28,50.0,63,69,14.0
50.7,57.2,93,90,6.93
63.73,48.2,87,75,14.99
29.6,95.0,59,40,4.7
9.49,80.28,69,59,33.42
-21.42,42.49,56,0,10.65
-4.07,68.97,66,15,1.59
12.52,84.2,74,20,19.46
-35.35,54.0,76,81,8.05
70.47,51.8,71,1,18.34
35.73,84.0,83,75,9.17
20.89,89.6,40,20,23.04
37.34,60.44,90,100,2.04
54.37,60.62,90,0,3.2
-8.9,75.7,84,36,10.07
5.6,68.4,92,85,2.95
31.35,73.4,83,0,10.2
-3.67,84.02,70,69,5.82
7.04,82.4,83,75,3.36
29.97,89.6,17,0,6.93
43.73,68.0,82,0,3.36
69.22,46.4,65,81,4.7
-14.66,60.28,64,0,4.74
14.9,74.12,82,30,5.21
57.58,63.37,82,48,7.0
18.22,77.0,31,43,5.97
-12.12,60.8,77,40,8.05
-33.93,52.0,87,47,9.17
37.73,68.0,72,40,5.82
47.97,56.66,81,0,8.61
-42.78,46.99,92,67,0.78
11.67,82.08,81,100,9.31
-45.58,32.0,95,40,5.82
50.61,58.86,84,0,6.67
41.9,82.4,45,1,13.87
-8.99,74.84,49,32,14.5
42.71,75.2,60,0,10.29
17.02,80.6,100,90,4.7
-2.42,73.54,99,100,1.72
17.88,86.0,66,20,19.46
13.77,82.69,71,100,3.62
-31.95,41.0,93,75,5.82
10.93,78.6,84,100,3.31
69.38,47.41,59,0,17.34
73.51,40.55,100,100,14.47
41.14,77.0,90,48,1.01
-26.65,51.8,87,0,4.7
41.37,78.8,74,75,9.17
49.6,77.0,33,1,13.87
18.8,84.0,82,73,12.66
-35.17,58.42,67,33,7.92
-22.96,52.0,87,0,6.93
39.36,64.99,91,91,3.0
65.61,42.8,81,62,16.11
36.62,79.0,60,1,10.29
5.41,77.0,88,20,3.67
-4.28,77.52,81,100,2.71
-9.88,79.54,46,39,2.3
53.51,55.2,86,99,4.07
33.08,68.0,77,40,16.11
7.77,82.4,54,75,19.46
-8.12,75.61,87,98,7.47
44.17,76.73,31,0,11.99
18.73,84.2,74,40,5.28
-37.62,49.71,80,94,8.14
61.11,43.0,82,93,4.59
-45.42,48.78,78,100,2.95
62.22,78.85,52,43,1.12
50.23,73.4,78,1,5.82
18.03,80.44,82,97,4.81
49.78,68.0,94,90,3.36
20.9,83.82,81,53,16.84
62.23,50.0,100,93,9.17
1.0,72.88,98,85,2.04
36.57,105.8,22,1,7.02
71.69,53.17,65,100,3.0
-20.42,62.83,62,0,2.15
44.61,66.87,87,74,5.01
27.9,69.96,81,100,1.01
4.57,66.42,94,81,3.09
-8.1,83.93,70,62,7.99
4.99,69.8,93,100,1.45
33.6,89.6,22,0,6.93
31.65,105.8,11,40,9.17
53.41,51.8,81,0,2.24
67.8,72.63,36,67,5.08
46.42,59.0,54,57,3.36
-24.79,55.4,47,0,5.82
60.14,43.29,91,64,9.28
40.28,71.53,31,87,6.02
34.45,81.28,45,0,14.65
-31.43,55.0,98,100,2.93
50.68,64.4,63,0,2.24
35.3,72.52,68,0,10.94
51.38,61.0,81,18,4.12
-34.65,48.0,52,70,5.99
7.85,73.44,91,92,3.69
-8.14,85.15,70,80,9.15
10.57,78.12,84,100,13.44
50.26,79.0,51,100,8.46
33.91,100.99,39,1,14.99
-41.07,53.01,61,6,4.0
39.39,57.87,57,64,4.34
21.11,78.8,88,75,3.36
4.87,74.95,86,72,8.81
22.29,88.0,70,70,8.01
24.8,86.0,79,75,4.7
18.95,86.0,74,40,6.93
24.41,81.75,83,99,7.72
40.56,69.01,94,0,1.12
47.67,64.0,77,40,11.41
30.99,75.2,73,100,6.71
-33.92,48.2,66,19,6.93
65.28,59.0,67,90,10.29
-6.13,71.47,83,16,7.25
50.24,77.0,69,0,4.47
-34.0,45.14,66,36,6.49
71.04,46.11,87,100,3.58
17.08,85.17,67,28,2.33
-38.0,50.0,53,71,12.75
-3.8,75.54,86,54,3.44
77.48,45.9,58,12,3.78
54.4,51.8,87,99,3.36
34.64,79.0,56,0,14.99
-7.0,69.73,60,10,1.95
-2.57,84.43,71,100,9.31
64.84,70.0,37,20,6.93
-45.87,42.8,48,2,10.29
63.05,49.32,84,97,2.93
-22.09,59.38,69,18,6.67
59.65,61.72,71,13,9.62
-6.22,85.86,63,86,5.61
10.28,72.52,87,88,4.7
44.02,93.2,14,1,9.17
27.63,59.68,100,100,1.05
18.9,93.7,28,36,4.59
46.7,69.64,95,99,4.74
11.1,74.43,87,76,5.99
63.01,60.75,68,16,6.38
-28.77,51.8,40,0,23.04
-16.92,73.4,83,90,9.17
-17.74,65.19,60,22,4.34
42.1,72.0,78,40,13.87
55.28,77.0,41,75,12.75
13.22,82.4,78,40,19.46
68.75,50.59,69,99,13.31
-22.54,66.85,67,0,6.98
52.7,70.48,55,96,4.68
-34.53,48.2,76,0,5.82
62.16,50.0,100,99,9.17
63.28,70.11,81,53,7.7
-25.24,39.2,69,0,6.93
66.77,61.83,93,65,22.5
-20.52,69.8,77,40,16.11
23.2,76.35,85,89,3.58
65.58,56.75,46,13,7.58
50.1,70.79,68,15,8.57
-34.73,55.58,75,7,9.84
-26.79,60.04,92,67,4.21
41.0,69.8,73,0,3.36
38.93,71.98,35,0,6.82
50.12,75.47,79,0,3.58
-6.88,77.86,81,82,9.57
35.54,62.01,84,88,3.2
28.1,73.99,73,3,9.17
62.0,77.11,50,40,9.28
5.14,74.66,84,96,7.94
54.72,60.46,87,100,2.82
-37.88,50.0,97,97,6.24
36.99,87.8,48,1,6.93
41.28,73.0,94,90,11.41
60.92,55.4,76,29,4.7
61.47,51.6,95,98,18.37
-18.59,68.5,91,1,2.53
-33.01,44.6,87,23,2.24
70.98,49.53,77,100,9.91
41.5,53.71,82,0,0.94
12.63,80.6,88,40,4.7
20.45,79.0,50,75,18.34
40.8,68.0,31,13,5.01
-41.45,45.0,93,90,10.29
-1.35,73.42,96,52,4.5
23.1,77.22,82,66,6.38
66.32,60.04,44,2,4.25
-1.66,75.02,92,55,4.05
49.92,80.11,32,0,9.71
38.95,73.4,88,0,5.82
-20.37,52.21,34,0,9.28
-35.57,55.0,85,66,1.99
2.67,83.59,75,68,9.13
-0.95,77.63,78,97,3.33
49.84,64.4,72,0,2.24
16.15,92.35,37,76,18.99
7.52,77.36,83,100,2.48
44.85,71.29,67,0,9.4
63.44,51.82,89,100,6.58
-2.67,81.99,71,100,2.21
63.75,41.0,93,90,5.82
-19.06,75.2,94,74,16.11
54.32,55.4,87,90,4.7
30.1,85.86,32,0,3.06
12.58,84.2,79,75,12.75
-1.27,74.26,94,92,2.77
34.4,100.4,45,1,5.82
-8.93,64.96,88,65,4.43
37.72,68.0,72,40,5.82
37.46,84.2,72,1,16.11
53.97,61.0,87,0,1.12
-32.72,59.0,87,57,10.29
31.71,102.2,22,1,6.93
78.22,44.6,70,40,23.04
5.27,75.2,94,40,2.24
70.86,46.24,90,93,2.71
55.1,78.8,41,40,4.7
37.93,64.99,70,1,2.26
10.37,73.2,91,98,11.1
16.64,91.38,37,19,7.23
35.22,78.01,85,100,1.01
52.38,55.4,76,75,5.82
-21.45,47.01,35,0,7.99
27.98,84.47,36,0,19.17
-12.93,74.97,47,8,0.34
-13.7,62.6,77,75,6.93
21.28,89.6,66,40,9.17
16.98,80.46,81,100,3.62
27.1,74.7,92,100,0.67
40.6,68.0,63,20,13.87
32.14,69.1,87,100,5.64
56.34,77.16,44,34,2.66
25.26,93.2,63,100,5.82
-3.46,73.08,82,20,1.45
49.58,62.71,82,96,0.49
11.28,78.1,90,100,16.64
-24.87,53.6,32,0,10.29
7.98,81.7,63,53,29.21
48.94,77.0,100,90,19.46
60.4,51.8,100,91,24.16
42.16,80.6,69,90,14.99
65.37,55.81,75,32,3.58
-0.87,76.98,84,100,10.51
30.15,93.99,70,1,13.87
-6.42,79.97,50,85,2.26
52.66,56.35,86,55,0.45
33.19,89.6,49,40,5.82
43.32,60.8,100,75,9.17
18.04,86.0,70,20,9.17
-41.87,42.01,86,40,6.93
60.82,73.4,60,75,4.7
37.83,78.01,57,0,11.99
34.17,56.43,38,71,4.92
53.71,59.0,87,32,4.47
36.41,70.88,34,0,1.68
22.48,75.58,86,100,1.05
-13.88,80.65,81,49,24.63
6.88,81.18,77,100,13.91
19.65,91.4,63,40,11.41
-20.21,72.0,77,40,16.11
50.93,51.75,86,100,1.83
40.53,95.0,21,1,10.29
51.7,65.07,92,22,3.87
-7.96,81.07,77,71,6.13
39.65,93.2,10,40,11.41
-0.45,74.8,72,28,18.23
29.03,74.05,64,0,9.95
32.77,73.54,81,0,16.26
4.65,81.95,77,86,12.86
-17.57,82.4,54,40,4.7
11.0,81.68,78,100,0.65
14.2,74.19,59,40,9.57
40.43,71.6,49,29,6.93
43.65,75.33,48,100,9.69
-43.3,41.76,63,4,24.32
1.3,78.8,88,20,2.24
-13.85,77.0,78,40,8.05
-17.0,73.0,84,51,4.0
-2.02,82.56,77,92,6.33
37.27,69.8,88,0,4.56
26.93,86.97,22,30,12.3
52.06,50.0,83,5,2.37
35.37,93.99,34,0,4.0
67.47,50.31,75,0,8.72
-32.5,46.4,100,39,6.93
-25.17,65.73,67,0,5.91
-2.97,71.44,85,46,0.83
7.92,82.99,100,75,4.7
19.8,80.6,100,75,12.68
-38.55,46.0,65,98,13.0
-15.86,71.6,83,40,1.12
-5.09,64.54,80,0,14.83
37.8,68.0,72,20,5.82
33.75,92.98,13,0,10.87
-6.8,75.45,82,80,7.25
-22.12,52.0,83,0,1.01
54.72,50.74,92,100,7.14
35.39,98.01,50,1,8.05
43.18,73.0,74,15,1.01
28.66,71.6,78,75,14.99
-34.05,51.08,56,15,5.19
54.52,62.6,63,75,18.34
-24.09,38.98,68,0,6.82
57.26,60.22,63,63,2.04
65.53,54.88,68,100,12.77
57.31,59.23,78,17,5.17
-11.95,51.6,65,13,4.61
27.92,74.84,87,100,3.31
23.61,89.6,84,100,3.36
63.45,74.91,75,22,7.38
41.18,75.0,72,0,12.8
6.04,80.37,84,100,8.86
50.42,55.0,98,100,1.99
45.55,60.8,51,1,2.24
-10.17,80.6,69,20,9.17
23.22,91.4,63,20,17.22
34.76,95.0,23,75,8.05
66.42,57.2,67,20,8.95
36.68,79.0,53,1,12.75
-8.43,76.73,84,80,6.51
-2.89,76.77,77,5,10.94
-17.53,82.4,54,40,4.7
42.28,80.6,69,90,14.99
-17.12,75.2,78,75,12.75
17.49,84.2,21,51,4.7
43.41,68.0,60,1,8.05
66.04,51.8,87,90,1.12
24.69,91.4,16,57,6.93
44.9,80.6,44,40,9.17
-8.57,57.7,75,7,2.17
-9.66,78.49,63,89,10.11
51.23,63.61,83,46,20.89
34.71,81.0,79,98,8.99
-17.71,70.9,84,22,3.94
-0.72,77.0,88,90,12.06
28.37,84.2,94,75,8.05
-19.12,71.6,56,40,9.17
-27.37,53.6,81,1,6.93
68.22,60.8,44,40,3.36
30.43,85.59,65,34,11.01
51.32,75.99,64,63,7.0
8.92,75.94,90,63,4.03
70.37,46.9,89,17,12.5
55.81,63.93,91,25,9.04
-20.23,72.99,72,1,14.99
58.96,84.33,49,0,1.36
41.37,81.0,55,13,11.5
-0.23,50.0,85,55,1.23
68.05,51.66,82,57,2.19
30.37,96.8,47,1,9.17
34.8,102.2,7,20,3.36
-51.62,32.0,94,75,13.87
11.14,84.04,70,99,0.85
48.74,51.8,87,83,3.36
59.58,62.2,70,8,2.21
50.6,59.18,80,100,1.16
60.55,64.4,77,40,11.41
-12.6,76.6,70,65,1.5
66.15,52.45,54,83,1.59
46.73,87.8,27,1,11.41
63.75,50.0,66,98,13.87
33.86,96.8,16,20,10.29
-9.35,68.25,59,25,4.14
15.85,83.39,73,75,4.12
27.32,92.43,35,0,3.78
40.82,82.4,42,1,4.7
30.48,79.2,50,36,13.89
63.84,53.01,100,51,3.36
-2.54,76.66,84,39,2.8
57.79,66.2,59,20,6.93
29.85,96.8,50,1,5.82
25.72,85.39,73,100,18.79
54.81,61.66,89,97,2.19
48.93,59.0,87,75,10.29
50.12,68.13,55,29,3.42
53.6,59.0,87,35,4.47
31.67,67.51,87,0,5.14
57.05,57.2,82,75,4.7
-14.8,77.9,42,38,4.25
-20.46,48.63,45,1,15.14
0.7,78.46,83,12,3.47
7.02,52.43,86,55,3.22
44.1,73.99,94,54,5.99
39.49,66.0,82,0,4.68
32.3,71.13,80,3,11.14
3.78,82.8,78,97,11.81
11.03,73.4,100,20,16.11
-11.03,76.12,70,59,1.68
-17.3,58.62,77,10,4.74
-20.01,72.0,64,36,10.0
1.03,67.35,96,71,3.89
-9.44,80.38,75,58,1.1
18.39,77.0,31,52,3.11
28.12,73.99,73,4,9.17
51.32,62.01,76,0,5.99
-45.75,53.01,82,100,3.0
-28.78,61.74,56,52,20.47
-16.48,78.33,74,26,17.74
32.12,74.66,76,0,9.57
58.52,79.79,46,0,5.88
18.74,91.51,25,16,3.56
-29.68,56.23,94,99,7.72
-7.47,73.4,100,75,5.82
50.68,51.26,91,100,5.14
54.21,67.12,87,85,7.43
13.3,78.13,69,63,8.79
26.19,96.8,47,1,19.46
-26.5,43.14,59,0,11.23
-1.41,71.22,89,73,2.77
31.77,104.0,9,1,9.17
8.41,79.27,58,62,31.81
59.38,64.98,69,31,6.44
53.94,59.9,78,99,1.28
64.25,52.68,87,45,5.39
-11.3,57.56,78,0,3.0
64.75,60.8,55,20,6.71
15.0,80.92,69,49,4.34
53.02,75.0,49,75,12.75
-14.27,71.67,84,89,11.9
6.12,80.42,81,100,15.75
61.94,62.67,95,76,2.66
25.52,74.53,99,98,6.06
14.35,87.01,74,98,2.24
5.67,77.0,88,20,11.41
41.8,77.0,91,67,7.83
45.17,66.0,84,25,3.0
8.08,67.62,94,100,2.66
66.0,57.2,67,20,8.95
-22.28,77.0,53,20,3.36
59.28,53.6,71,28,10.29
22.86,84.69,77,62,7.16
-38.08,57.0,76,31,5.01
-13.2,69.06,83,71,3.24
39.6,91.4,13,1,6.93
-25.4,55.71,77,20,3.94
61.46,50.0,100,81,1.12
17.65,82.4,88,75,2.24
41.12,84.2,39,1,8.05
-10.07,61.21,82,0,8.59
-1.57,72.73,92,26,7.02
63.46,60.15,95,100,9.66
6.75,76.55,82,92,14.2
37.59,102.99,9,75,12.75
36.89,74.14,84,0,7.92
-16.7,78.89,70,15,17.45
-35.1,62.01,3,16,7.0
26.59,87.8,79,75,5.82
0.53,83.97,75,27,8.72
19.22,87.8,79,75,5.82
45.02,82.4,69,75,9.17
18.7,83.3,84,99,15.28
46.5,66.2,72,0,1.12
65.82,54.81,87,19,8.66
-18.47,62.74,67,23,4.61
-9.86,70.0,81,96,5.91
69.41,48.2,93,90,11.18
-18.19,52.7,48,8,11.86
11.24,73.99,88,100,1.01
44.51,82.98,58,32,14.03
59.12,57.11,86,98,9.13
-23.58,67.39,65,4,3.13
54.05,62.6,63,75,18.34
-9.43,84.2,79,40,6.93
50.1,77.0,44,1,8.05
-14.47,77.0,53,20,12.75
14.3,78.8,88,75,4.7
-3.48,72.19,86,50,1.7
32.22,88.88,46,0,3.87
51.55,50.0,93,75,3.36
-8.47,79.47,79,100,11.43
20.02,76.3,84,21,8.95
30.3,73.99,97,97,4.12
50.17,63.0,71,14,2.24
-33.73,53.6,81,75,4.7
61.22,66.2,59,90,8.05
8.93,71.11,96,93,2.06
39.55,80.01,67,3,3.0
10.31,77.0,88,75,4.7
